NewID,OriginalID#,Word,Curse_Quality,Concreteness,Frequency,Valence,Arousal,Dominance,Body_Other,Receptacle_Other,Vehicle_Other,Animate_Not,Dwelling_Not,Profession_Not,Animal_Other,Manufactured_Other,N_Lett,N_Syll,N_Phones,OrthDensity,NClustersPerSyll,NStopsPerSyllable,NClosedSyllPerSyll
115,226,coin,1.816091954,618,9.75,6.55,3.13,6.24,0,0,0,0,0,0,0,1,4,1,3,11,0,1,1
346,738,ribbon,1.804597701,611,5.06,6.7,3.63,5.31,0,0,0,0,0,0,0,1,6,2,3,1,0,0.5,0.5
413,874,stove,1.804597701,567,7.59,5.63,3.82,6.08,0,0,0,0,0,0,0,1,5,1,4,6,1,1,1
179,366,garlic,1.804597701,579,6,5.67,4.12,6.62,0,0,0,0,0,0,0,0,6,2,5,1,0,1,1
294,628,owl,1.804597701,592,5.61,6.3,3.57,5.02,0,0,0,1,0,0,1,0,3,1,2,7,0,0,1
272,583,movie,1.793103448,566,122.96,7.24,4.39,5.68,0,0,0,0,0,0,0,1,5,2,4,3,0,0,0
116,230,concrete,1.793103448,618,7.43,4.82,3.63,5.9,0,0,0,0,0,0,0,1,8,2,7,0,0.5,1.5,1
267,574,morphine,1.793103448,640,6.49,4.58,5.14,4.57,0,0,0,0,0,0,0,1,8,2,5,0,0,0,1
235,505,lemonade,1.781609195,576,5.51,7.05,4.63,6,0,0,0,0,0,0,0,1,8,3,7,0,0,0.33,0.33
313,671,pier,1.781609195,565,6.55,5.86,3.75,6.14,0,0,0,0,0,0,0,1,4,1,2,7,0,1,1
210,449,inn,1.770114943,576,8.39,5.71,3.26,5.52,0,1,0,0,1,0,0,1,3,1,2,6,0,0,1
113,224,coffee,1.770114943,564,144.53,7,5.1,6.12,0,0,0,0,0,0,0,1,6,2,4,2,0,0.5,0
251,537,mansion,1.75862069,588,6.45,6.62,4.84,6.5,0,0,0,0,1,0,0,1,7,2,6,1,0,0,1
286,610,oak,1.75862069,581,5.61,6.47,2.64,5.91,0,0,0,0,0,0,0,0,3,1,2,8,0,1,1
213,458,jade,1.747126437,593,5.08,6.25,3.43,5.37,0,0,0,0,0,0,0,0,4,1,3,10,0,2,1
108,213,clothes,1.747126437,585,101.14,6.77,3.14,5.47,0,0,0,0,0,0,0,1,7,1,5,3,1,1,1
354,749,roof,1.747126437,565,35.65,4.48,3.4,7.05,0,0,0,0,0,0,0,1,4,1,3,9,0,0,1
358,755,ruby,1.735632184,584,11.9,6.79,4.05,6,0,0,0,0,0,0,0,0,4,2,4,4,0,0.5,0
381,806,shore,1.724137931,631,19.86,,,,0,0,0,0,0,0,0,0,5,1,3,15,0,0,1
55,112,brandy,1.724137931,564,11.12,5.67,3.86,5.5,0,0,0,0,0,0,0,1,6,2,4,4,0.5,1,0.5
69,141,cafe,1.724137931,598,5.06,,,,0,0,0,0,0,0,0,1,4,2,4,9,0,0.5,0
111,219,coast,1.724137931,589,26.69,5.9,4.17,5.78,0,0,0,0,0,0,0,0,5,1,4,7,1,2,1
256,548,mechanic,1.724137931,606,5.06,5.45,4.45,5.15,0,0,0,1,0,1,0,1,8,3,7,1,0,0.67,0.33
319,678,pine,1.712643678,562,6.2,6.58,3.25,4.95,0,0,0,0,0,0,0,0,4,1,3,20,0,1,1
328,699,portrait,1.712643678,572,5.43,6.05,3.2,7,0,0,0,0,0,0,0,1,8,2,6,1,0.5,1.5,1
480,1010,window,1.701149425,631,86,6.47,3.27,5.39,0,0,0,0,0,0,0,1,6,2,5,2,0,0.5,0.5
166,342,football,1.701149425,614,37.53,6.52,5.65,5.42,0,0,0,0,0,0,0,1,8,2,6,0,0,1,1
404,859,stadium,1.701149425,579,6.12,5.53,5.25,5,0,0,0,0,1,0,0,1,7,2,7,0,0.5,1,0.5
231,498,leaf,1.689655172,600,5.2,6.16,3.05,5.54,0,0,0,0,0,0,0,0,4,1,3,9,0,0,1
338,724,radio,1.689655172,607,77.18,6,3.84,6.27,0,0,0,0,0,0,0,1,5,2,5,2,0,0.5,0
89,178,cereal,1.689655172,566,6.35,6.45,3.05,5.77,0,0,0,0,0,0,0,1,6,3,6,1,0,0,0.33
290,617,olive,1.689655172,582,7.35,6.05,3.92,5.18,0,0,0,0,0,0,0,0,5,2,4,5,0,0,0.5
291,619,orange,1.689655172,604,22.31,6.81,4.04,5.58,0,0,0,0,0,0,0,0,6,2,5,3,0.5,0.5,1
120,239,corridor,1.689655172,593,5.57,4.76,3.53,5.35,0,0,0,0,0,0,0,1,8,3,6,1,0,0.67,0.67
131,269,dentist,1.689655172,602,11.2,3.84,4.37,4.7,0,0,0,1,0,1,0,1,7,2,7,1,0.5,1.5,1
151,310,envelope,1.689655172,592,10.06,5.95,2.8,5.5,0,1,0,0,0,0,0,1,8,3,7,1,0,0.33,0.67
73,146,camera,1.67816092,587,57,6.61,3.05,6.39,0,0,0,0,0,0,0,1,6,3,4,1,0,0.33,0.33
176,362,gallery,1.67816092,626,8.51,6.9,3.32,5.68,0,1,0,0,0,0,0,1,7,3,6,1,0,0.33,0
186,382,gown,1.67816092,591,6.55,6,3.86,5.5,0,0,0,0,0,0,0,1,4,1,3,7,1,1,1
91,182,chapel,1.666666667,575,7.96,6.67,2.45,3.8,0,0,0,0,0,0,0,1,6,2,6,0,0,1,0.5
4,17,ankle,1.666666667,615,8.02,5.4,3.11,5.58,1,0,0,0,0,0,0,0,5,2,4,3,0,0.5,1
237,511,library,1.666666667,608,22.94,6.33,2.52,6.35,0,1,0,0,0,0,0,1,7,3,7,0,0.33,0.33,0
395,837,soda,1.666666667,591,19.84,5.47,4.77,6.04,0,0,0,0,0,0,0,1,4,2,4,3,0,0.5,0
343,733,refrigerator,1.655172414,586,8.37,5.76,3.25,5.82,0,1,0,0,0,0,0,1,12,5,11,1,0.2,0.4,0.2
228,495,laundry,1.643678161,587,19.06,5.15,4.5,6.09,0,0,0,0,0,0,0,1,7,2,6,0,0.5,0.5,0.5
64,128,building,1.620689655,620,99.57,5.47,3.35,6,0,1,0,0,1,0,0,1,8,2,6,1,0,1,1
311,669,picture,1.620689655,608,138.45,6.73,3.29,6.12,0,0,0,0,0,0,0,1,7,2,6,2,0,1.5,1
109,214,clothing,1.609195402,589,10.84,6.37,4.44,6.72,0,0,0,0,0,0,0,1,8,2,6,1,0.5,0.5,0.5
276,589,musician,1.597701149,579,6.04,6.79,5.52,5.7,0,0,0,1,0,1,0,1,8,3,8,1,0.33,0,0.33
249,532,magazine,1.597701149,579,33.2,6.24,4.2,7.05,0,0,0,0,0,0,0,1,8,3,7,1,0,0.33,0.33
204,436,hospital,1.597701149,573,124.2,3.52,5.07,3.93,0,1,0,0,1,0,0,1,8,3,3,1,0,0.67,0.67
351,744,robin,1.586206897,606,24.94,6.63,2.64,4.35,0,0,0,1,0,0,1,0,5,2,3,2,0,0.5,0.5
87,175,ceiling,1.574712644,591,8.35,5.39,2.75,5.16,0,0,0,0,0,0,0,1,7,2,5,1,0,0,0.5
175,360,furniture,1.574712644,587,15.08,5.79,3.05,5.43,0,0,0,0,0,0,0,1,9,3,7,0,0,0.33,0.67
310,667,piano,1.563218391,585,24.86,6.4,3.61,5.42,0,0,0,0,0,0,0,1,5,2,5,1,0,0.5,0
53,110,bracelet,1.563218391,585,7.8,6.48,3.96,5,0,0,0,0,0,0,0,1,8,2,7,1,1,1,0.5
57,116,breakfast,1.551724138,635,66.29,7.39,5,6.83,0,0,0,0,0,0,0,1,9,2,8,1,1,1.5,1
2,11,ambulance,1.551724138,586,22.41,3.71,5.33,3.29,0,0,1,0,0,0,0,1,9,3,9,1,0.33,0.67,0.67
440,925,tobacco,1.528735632,564,6.98,3.37,5,4.13,0,0,0,0,0,0,0,0,7,3,6,0,0,1,0
13,33,automobile,1.505747126,564,5.71,5.45,3.91,6,0,0,1,0,0,0,0,1,10,4,8,1,0,0.5,0.25
473,999,wheat,1.494252874,588,5.75,4.95,3.94,5.75,0,0,0,0,0,0,0,0,5,1,3,3,0,1,1
11,31,aspirin,1.482758621,573,7.75,,3.35,5.12,0,0,0,0,0,0,0,1,7,3,7,2,0.33,1,0.67
6,19,apartment,1.482758621,621,83.04,5.72,3.8,5.33,0,0,0,0,1,0,0,1,9,3,8,1,0.67,1,0.67
309,665,physician,1.459770115,567,6.14,5.24,3.96,5.23,0,0,0,1,0,1,0,1,9,3,7,1,0,0,0.33
281,600,newspaper,1.413793103,586,23.69,5.11,2.67,5.05,0,0,0,0,0,0,0,1,9,3,8,1,0,0.67,0.67
429,905,tennis,1.402298851,597,13.63,5.4,3.89,5.68,0,0,0,0,0,0,0,1,6,2,5,1,0,0.5,0.5
344,735,restaurant,1.379310345,565,46.53,6.95,4.19,5.82,0,0,0,0,0,0,0,1,10,3,9,1,0.67,0.67,0.67
159,327,fireplace,1.356321839,587,5.08,5.95,5.2,5.56,0,1,0,0,0,0,0,1,9,3,7,1,0.33,0.33,0.67
